id,name,code,account_type,reconcile,non_trade
cr_coa_1010101,Efectivo,1010101,asset_current,False,False
cr_coa_1010201,Caja chica,1010201,asset_current,False,False
cr_coa_1010301,Cuenta bancaria 1,1010301,asset_current,False,False
cr_coa_1010302,Cuenta bancaria 2,1010302,asset_current,False,False
cr_coa_1010303,Cuenta bancaria 3,1010303,asset_current,False,False
cr_coa_1010304,Cuenta bancaria 4,1010304,asset_current,False,False
cr_coa_1010401,Otras cuentas electronicas,1010401,asset_current,False,False
cr_coa_1020101,Fondos en tránsito en tesorería,1020101,asset_current,False,False
cr_coa_1020201,Fondos en tránsito Datáfonos,1020201,asset_current,False,False
cr_coa_1020301,Cuenta transitoria de conciliación bancaria,1020301,asset_current,False,False
cr_coa_1020401,Transferencia de liquidez,1020401,asset_current,True,False
cr_coa_1020501,Recibos pendientes,1020501,asset_current,True,False
cr_coa_1020601,Pagos pendientes,1020601,asset_current,True,False
cr_coa_1030101,Inversiones a corto plazo,1030101,asset_current,False,False
cr_coa_1040101,Cuentas por cobrar a clientes,1040101,asset_receivable,True,False
cr_coa_1040201,Cuentas por cobrar comerciales (PoS),1040201,asset_receivable,True,False
cr_coa_1040301,Cuentas por cobrar a compañías relacionadas,1040301,asset_receivable,True,False
cr_coa_1040401,Cuentas por cobrar a empleados,1040401,asset_receivable,True,True
cr_coa_1040501,Cuentas por cobrar por anticipos a proveedores,1040501,asset_receivable,True,True
cr_coa_1040601,Otras cuentas por cobrar,1040601,asset_receivable,True,True
cr_coa_1050101,Inventario de producto para la venta,1050101,asset_current,False,False
cr_coa_1050201,Inventario de consumibles,1050201,asset_current,False,False
cr_coa_1050301,Inventario de productos en proceso,1050301,asset_current,False,False
cr_coa_1060101,Pólizas de seguros prepagadas,1060101,asset_current,False,False
cr_coa_1060201,Depósitos sobre derechos telefónicos,1060201,asset_current,False,False
cr_coa_1060301,Depósitos sobre conexiones de Internet,1060301,asset_current,False,False
cr_coa_1060401,Depósitos sobre locales en alquiler,1060401,asset_current,False,False
cr_coa_1071101,Impuesto al Valor Agregado pagado (compras),1071101,asset_current,False,False
cr_coa_1071201,Impuesto al Valor Agregado retenciones,1071201,asset_current,False,False
cr_coa_1071301,Impuesto al Valor Agregado otras retenciones,1071301,asset_current,False,False
cr_coa_1071401,Impuesto al Valor Agregado saldo a favor,1071401,asset_current,False,False
cr_coa_1072101,Anticipos del Impuesto Sobre la Renta,1072101,asset_current,False,False
cr_coa_1072201,Retenciones al Impuesto Sobre la Renta,1072201,asset_current,False,False
cr_coa_1072301,Otras Retenciones al Impuesto Sobre la Renta,1072301,asset_current,False,False
cr_coa_1110101,Terrenos,1110101,asset_fixed,False,False
cr_coa_1121101,Edificios,1121101,asset_fixed,False,False
cr_coa_1122101,Dep. ac. de edificios,1122101,asset_fixed,False,False
cr_coa_1131101,Mobiliario y equipo de oficina,1131101,asset_fixed,False,False
cr_coa_1132101,Dep. ac. de Mobiliario y equipo de oficina,1132101,asset_fixed,False,False
cr_coa_1141101,Equipo de computo y electrónicos,1141101,asset_fixed,False,False
cr_coa_1142101,Dep. ac. de Equipo de computo y electrónicos,1142101,asset_fixed,False,False
cr_coa_1151101,Vehículos,1151101,asset_fixed,False,False
cr_coa_1152101,Dep. ac. de Vehículos,1152101,asset_fixed,False,False
cr_coa_1161101,Maquinaria y Equipo,1161101,asset_fixed,False,False
cr_coa_1162101,Dep. ac. de Maquinaria y Equipo,1162101,asset_fixed,False,False
cr_coa_1171101,Herramientas mayores,1171101,asset_fixed,False,False
cr_coa_1172101,Dep. ac. de Herramientas mayores,1172101,asset_fixed,False,False
cr_coa_1181101,Otros activos fijos,1181101,asset_fixed,False,False
cr_coa_1182101,Dep. ac. de Otros activos fijos,1182101,asset_fixed,False,False
cr_coa_1210101,Software,1210101,asset_non_current,False,False
cr_coa_1310101,Marcas y otros,1310101,asset_non_current,False,False
cr_coa_1410101,Documentos por cobrar (largo plazo),1410101,asset_non_current,False,False
cr_coa_2010101,Cuentas por pagar a proveedores,2010101,liability_payable,True,False
cr_coa_2010201,Cuentas por pagar a compañías relacionadas,2010201,liability_payable,True,False
cr_coa_2010301,Cuentas por pagar a empleados,2010301,liability_payable,True,True
cr_coa_2010401,Cuentas por pagar de provisiones legales,2010401,liability_payable,True,True
cr_coa_2010501,Cuentas por pagar seguro social,2010501,liability_payable,True,True
cr_coa_2010601,Cuentas por pagar retenciones a empleados,2010601,liability_payable,True,True
cr_coa_2010701,Cuentas por pgar a clientes por anticipos,2010701,liability_payable,True,True
cr_coa_2010801,Otras cuentas por pagar,2010801,liability_payable,True,True
cr_coa_2020101,Impuesto al Valor agregado cobrado (ventas),2020101,liability_current,False,False
cr_coa_2020201,Impuesto al Valor agregado a pagar (cierre de impuestos),2020201,liability_current,True,True
cr_coa_2030101,Impuesto sobre la Renta por Pagar,2030101,liability_current,True,True
cr_coa_2110101,Documento por pagar a largo plazo,2110101,liability_non_current,True,True
cr_coa_3010101,Capital social,3010101,equity,False,False
cr_coa_3010201,Aportes extraordinarios,3010201,equity,False,False
cr_coa_3010301,Reserva legal,3010301,equity,False,False
cr_coa_3010401,Reserva para mejoras,3010401,equity,False,False
cr_coa_3010501,Reserva para proyectos,3010501,equity,False,False
cr_coa_3020101,Superávit de capital,3020101,equity,False,False
cr_coa_3020201,Superavit por revaluación de activos,3020201,equity,False,False
cr_coa_3020301,Superavit ganado,3020301,equity,False,False
cr_coa_3030101,Utilidad o perdida acumulada (retenida),3030101,equity,False,False
cr_coa_3030201,Utilidad o perdida del periodo actual,3030201,equity,False,False
cr_coa_3040101,Balance inicial de saldos,3040101,equity,False,False
cr_coa_4110101,Ingresos por venta de servicios,4110101,income,False,False
cr_coa_4110201,Ingresos por ventas de bienes,4110201,income,False,False
cr_coa_4210101,Intereses ganados sobre inversiones,4210101,other_income,False,False
cr_coa_4210201,Intereses ganados sobre cuentas de ahorros,4210201,other_income,False,False
cr_coa_4310101,Ingresos procedentes de donaciones,4310101,other_income,False,False
cr_coa_4410101,Ganancias por diferencias de cambio,4410101,other_income,False,False
cr_coa_4510101,Otros ingresos,4510101,other_income,False,False
cr_coa_5110101,Costo de los productos vendidos,5110101,cost_of_revenue,False,False
cr_coa_5110201,Costos de salarios (incluye las cargas sociales),5110201,cost_of_revenue,False,False
cr_coa_5110301,Costo de materiales y suministros,5110301,cost_of_revenue,False,False
cr_coa_5110401,Costo de los servicios,5110401,cost_of_revenue,False,False
cr_coa_5110501,Costo de producción,5110501,cost_of_revenue,False,False
cr_coa_5110601,Costo de almacenamiento,5110601,cost_of_revenue,False,False
cr_coa_5110701,Costo de distribución y transporte,5110701,cost_of_revenue,False,False
cr_coa_5110801,Otros costos indirectos,5110801,cost_of_revenue,False,False
cr_coa_5210101,Salarios,5210101,expense,False,False
cr_coa_5210201,Salario extra,5210201,expense,False,False
cr_coa_5210301,Bonificaciones y comisiones salariales,5210301,expense,False,False
cr_coa_5210401,Seguro social,5210401,expense,False,False
cr_coa_5210501,Pólizas Riesgos del Trabajo,5210501,expense,False,False
cr_coa_5210601,Aguinaldo,5210601,expense,False,False
cr_coa_5210701,Vacaciones,5210701,expense,False,False
cr_coa_5210801,Preaviso,5210801,expense,False,False
cr_coa_5210901,Cesantías,5210901,expense,False,False
cr_coa_5310101,Viaticos transporte,5310101,expense,False,False
cr_coa_5310102,Viaticos combustible,5310102,expense,False,False
cr_coa_5310103,Viaticos alimentación,5310103,expense,False,False
cr_coa_5310104,Viaticos hospedaje,5310104,expense,False,False
cr_coa_5311101,Suministros de oficina y papeleria,5311101,expense,False,False
cr_coa_5311201,Servicio telefónico e internet,5311201,expense,False,False
cr_coa_5311301,Servicio eléctrico,5311301,expense,False,False
cr_coa_5311401,Servicio acueductos,5311401,expense,False,False
cr_coa_5312101,Servicios profesionales,5312101,expense,False,False
cr_coa_5312201,Servicios técnicos,5312201,expense,False,False
cr_coa_5312301,Servicios personales,5312301,expense,False,False
cr_coa_5312401,Servicios de administración,5312401,expense,False,False
cr_coa_5313101,Campañas publicitarias,5313101,expense,False,False
cr_coa_5314101,Alquiler de edificios,5314101,expense,False,False
cr_coa_5314201,Alquiler de vehiculos,5314201,expense,False,False
cr_coa_5314301,Alquiler de maquinas y equipos,5314301,expense,False,False
cr_coa_5314401,Alquiler mobiliario para oficinas,5314401,expense,False,False
cr_coa_5314501,Alquiler de equipo electrónico,5314501,expense,False,False
cr_coa_5315101,Patentes e impuestos,5315101,expense,False,False
cr_coa_5316101,Uniformes,5316101,expense,False,False
cr_coa_5317101,Suministros de aseo,5317101,expense,False,False
cr_coa_5318101,Otros gastos administrativos,5318101,expense,False,False
cr_coa_5410101,Gastos por intereses,5410101,other_expense,False,False
cr_coa_5410201,Gastos por comisiones bancarias,5410201,other_expense,False,False
cr_coa_5410301,Perdidas por diferencias de cambio,5410301,other_expense,False,False
cr_coa_5510101,Gastos por donaciones deducibles,5510101,other_expense,False,False
cr_coa_5610101,Gastos por perdidas de inventarios,5610101,other_expense,False,False
cr_coa_5710101,Gastos por multas,5710101,other_expense,False,False
cr_coa_5810101,Depreciación del activo fijo,5810101,expense,False,False
cr_coa_6010101,Gastos no deducibles,6010101,other_expense,False,False
cr_coa_999001,Ganancia por diferencia de efectivo,999001,other_income,False,False
cr_coa_999002,Pérdida por diferencia de efectivo,999002,other_expense,False,False
cr_coa_999997,Ganancia por descuento por pronto pago,999997,other_income,False,False
cr_coa_999998,Pérdida por descuento por pronto pago,999998,other_expense,False,False
cr_coa_999999,Ganancias/pérdidas no distribuidas,999999,equity,False,False
